capec.id, capec.name, owasp_category, attack.id, attack.name
"CAPEC-112", "Brute Force", "Brute force attack", "1110", "Brute Force"
"CAPEC-125", "Flooding", "Traffic flood", "1499", "Endpoint Denial of Service"
"CAPEC-125", "Flooding", "Traffic flood", "1498.001", "Network Denial of Service: Direct Network Flood"
"CAPEC-141", "Cache Poisoning", "Cache Poisoning", "1557.002", "Adversary-in-the-Middle: ARP Cache Poisoning"
"CAPEC-148", "Content Spoofing", "Content Spoofing", "1491", "Defacement"
"CAPEC-268", "Audit Log Manipulation", "Log Injection", "1562.008", "Impair Defenses: Disable Cloud Logs"
"CAPEC-268", "Audit Log Manipulation", "Log Injection", "1562.003", "Impair Defenses:Impair Command History Logging"
"CAPEC-268", "Audit Log Manipulation", "Log Injection", "1562.002", "Impair Defenses: Disable Windows Event Logging"
"CAPEC-268", "Audit Log Manipulation", "Log Injection", "1070", "Indicator Removal on Host"
"CAPEC-593", "Session Hijacking", "Session hijacking attack", "1563", "Remote Service Session Hijacking"
"CAPEC-593", "Session Hijacking", "Session hijacking attack", "1550.001", "Use Alternate Authentication Material:Application Access Token"
"CAPEC-593", "Session Hijacking", "Session hijacking attack", "1185", "Browser Session Hijacking"
"CAPEC-600", "Credential Stuffing", "Credential stuffing", "1110.004", "Brute Force:Credential Stuffing"
"CAPEC-642", "Replace Binaries", "Binary planting", "1574.005", "Hijack Execution Flow: Executable Installer File Permissions Weakness"
"CAPEC-642", "Replace Binaries", "Binary planting", "1554", "Compromise Client Software Binary"
"CAPEC-642", "Replace Binaries", "Binary planting", "1505.005", "Server Software Component: Terminal Services DLL"
"CAPEC-662", "Adversary in the Browser (AiTB)", "Man-in-the-browser attack", "1185", "Browser Session Hijacking"
"CAPEC-94", "Adversary in the Middle (AiTM)", "Man-in-the-middle attack", "1557", "Adversary-in-the-Middle"
