rel_type, source_label, target_label, cnt
"IMPACTS", "FutureThreat", "Equipment", 4780512
"VULNERABLE_TO", "Device", "CVE", 2592244
"INSTALLED_ON", "DataSource", "Device", 781672
"VULNERABLE_TO", "Process", "CVE", 395131
"TRACKS_PROCESS", "InformationStream", "Process", 344256
"MONITORS_EQUIPMENT", "InformationStream", "Equipment", 289233
"CONSUMES_FROM", "InformationStream", "DataSource", 287856
"PROCESSES_THROUGH", "InformationStream", "DataProcessor", 270203
"CHAINS_TO", "DataProcessor", "DataProcessor", 225358
"IS_WEAKNESS_TYPE", "CVE", "CWE", 225144
"DELIVERS_TO", "InformationStream", "DataConsumer", 216126
"MITIGATES", "Control", "Vulnerability", 215239
"INSTALLED_ON", "DataSource", "Equipment", 167934
"MONITORS", "QualityMetric", "InformationStream", 150605
"MEASURES", "PerformanceMetric", "InformationStream", 150390
"USES_SOFTWARE", "DataConsumer", "SoftwareComponent", 119930
"HAS_MEASUREMENT", "Equipment", "Measurement", 82800
"VULNERABLE_TO", "Control", "CVE", 60912
"VULNERABLE_TO", "Equipment", "CVE", 58948
"GOVERNS", "SLA", "InformationStream", 53862
"MONITORS", "Device", "Measurement", 34000
"HAS_MEASUREMENT", "Property", "Measurement", 33000
"MITIGATES", "Control", "AttackPattern", 30261
"USES_SOFTWARE", "DataConsumer", "Package", 30019
"HAS_ENERGY_PROPERTY", "Device", "Property", 30000
"BASED_ON_PATTERN", "WhatIfScenario", "HistoricalPattern", 29970
"THREATENS", "FutureThreat", "Organization", 24192
"CONTAINS", "Zone", "Equipment", 19600
"GENERATES_MEASUREMENT", "Property", "Measurement", 18000
"HAS_BIAS", "InformationStream", "CognitiveBias", 18000
"MAY_DEPLOY", "FutureThreat", "Threat", 17850
"HAS_PROPERTY", "Device", "Property", 16802
"RELATED_TO", "Threat", "Threat", 15587
"MEASURES", "HealthcareDevice", "Healthcare", 15000
"CONTAINS_ENTITY", "Document", "Entity", 14645
"HAS_PROPERTY", "Equipment", "Property", 13000
"AFFECTS", "Vulnerability", "Asset", 12089
"RELATED_TO", "Indicator", "Indicator", 11456
"INSTALLED_ON", "DataSource", "Control", 11007
"USES_TECHNIQUE", "FutureThreat", "Threat", 10842
"COMPLIES_WITH", "Equipment", "CriticalInfrastructure", 10500
"GENERATES", "Process", "Measurement", 10500
"LOCATED_AT", "Equipment", "Location", 10500
"MITIGATED_BY", "Threat", "CriticalInfrastructure", 10500
"PUBLISHES", "Organization", "CriticalInfrastructure", 10500
"MONITORS", "Equipment", "Measurement", 10500
"EXECUTES", "Equipment", "Process", 10500
"VULNERABLE_TO", "Equipment", "Threat", 10500
"INSTALLED_AT_SUBSTATION", "Device", "Substation", 10000
"CONTROLLED_BY_EMS", "Device", "Control", 10000
"HAS_PROPERTY", "HealthcareDevice", "Healthcare", 10000
"HAS_VULNERABILITY", "Equipment", "Vulnerability", 10000
"IDENTIFIES_THREAT", "InformationStream", "Threat", 9762
"REQUIRES", "Process", "Device", 9586
"INDICATES", "Indicator", "Threat", 9022
"CONTROLS", "Control", "Device", 8700
"OPERATES_ON", "Process", "Equipment", 8000
"CONTROLLED_BY", "Equipment", "Control", 8000
"EXPLOITS", "Threat", "Vulnerability", 7913
"INSTALLED_ON", "DataSource", "Process", 7512
"EXPLOITS", "AttackPattern", "Vulnerability", 7446
"EXECUTES", "Device", "Process", 7200
"USES_DEVICE", "Process", "Equipment", 7000
"REPORTS_TO", "Device", "Control", 7000
"LOCATED_IN", "Device", "Zone", 7000
"SUPPORTS", "Asset", "Device", 7000
"TARGETS", "Threat", "Equipment", 6000
"TARGETS", "FutureThreat", "Sector", 5400
"CONTROLS", "Control", "Process", 5223
"CONTROLS", "Control", "Equipment", 5000
"COMPLIES_WITH", "Equipment", "CommercialStandard", 5000
"PROFILES", "HistoricalPattern", "Threat", 5000
"PARTICIPATES_IN", "HealthcareDevice", "Healthcare", 5000
"EXECUTES_PROCESS", "Equipment", "Process", 5000
"APPLIES_TO", "Standard", "Equipment", 5000
"COMPLIES_WITH_NERC_CIP", "Device", "Control", 5000
"MITIGATED_BY", "Threat", "Mitigation", 5000
"EXTENDS_SAREF_DEVICE", "Device", "Device", 4417
"EXPLOITED_BY", "Vulnerability", "Threat", 4222
"EXPLOITS", "Malware", "Vulnerability", 4076
"BELONGS_TO", "CWE", "CWE_Category", 3886
"BELONGS_TO", "CWE", "CWECategory", 3886
"MITIGATES", "Mitigation", "Vulnerability", 3500
"EXPLOITS", "ThreatActor", "Vulnerability", 3279
"ANALYZES_SECTOR", "HistoricalPattern", "Sector", 3120
"DETECTS_VULNERABILITY", "InformationStream", "CVE", 3084
"REQUIRES_STANDARD", "Process", "Standard", 3000
"PUBLISHES", "ThreatFeed", "InformationEvent", 3000
"PROTECTED_BY", "Control", "Mitigation", 3000
"INVOLVES", "Incident", "Equipment", 3000
"HAS_COMMAND", "Function", "Command", 3000
"ATTRIBUTED_TO", "FutureThreat", "Threat", 3000
"CONTROLS", "Healthcare", "HealthcareDevice", 3000
"BELONGS_TO", "Threat", "Tactic", 2945
"LOCATED_IN", "HealthcareDevice", "Healthcare", 2800
"EXECUTES", "Zone", "Process", 2800
"OFFERS_SERVICE", "Device", "Service", 2500
"USES_TECHNIQUE", "FutureThreat", "Technique", 2457
"DETECTS", "Indicator", "Indicator", 2184
"AFFECTS", "Vulnerability", "Software", 2160
