source_node_id,source_label,source_id,cve_id,population_impact,grid_severity,cascade_risk,recovery_time_hours,all_properties
388329,Device,,,,,,,"{""exploitabilityScore"": 3.9, ""mitigationStatus"": ""Unpatched"", ""populationImpact"": 203205, ""patchVersion"": ""V7.7.0"", ""patchAvailable"": true, ""gridImpact"": ""Blackout"", ""discoveredDate"": ""2024-07-20T01:24:41.763000000+00:00"", ""affectedFirmwareVersions"": [""V4.6.10""], ""cascadeRisk"": ""High"", ""isExploited"": false}"
388330,Device,,,,,,,"{""exploitabilityScore"": 3.9, ""mitigationStatus"": ""Unpatched"", ""populationImpact"": 127735, ""patchVersion"": ""V4.9.0"", ""patchAvailable"": true, ""gridImpact"": ""LoadShedding"", ""discoveredDate"": ""2025-01-07T01:24:41.763000000+00:00"", ""affectedFirmwareVersions"": [""V3.6.1""], ""cascadeRisk"": ""High"", ""isExploited"": false}"
388333,Device,,,,,,,"{""exploitabilityScore"": 3.9, ""mitigationStatus"": ""Mitigated"", ""populationImpact"": 75425, ""patchVersion"": ""V3.5.0"", ""patchAvailable"": true, ""gridImpact"": ""LoadShedding"", ""discoveredDate"": ""2024-10-23T01:24:41.763000000+00:00"", ""affectedFirmwareVersions"": [""V3.6.19""], ""cascadeRisk"": ""High"", ""isExploited"": false}"
388336,Device,,,,,,,"{""exploitabilityScore"": 3.9, ""mitigationStatus"": ""Unpatched"", ""populationImpact"": 247353, ""patchVersion"": ""V7.9.0"", ""patchAvailable"": false, ""gridImpact"": ""Blackout"", ""discoveredDate"": ""2024-12-24T01:24:41.763000000+00:00"", ""affectedFirmwareVersions"": [""V3.7.20""], ""cascadeRisk"": ""High"", ""isExploited"": false}"
388346,Device,,,,,,,"{""exploitabilityScore"": 3.9, ""mitigationStatus"": ""Unpatched"", ""populationImpact"": 54897, ""patchVersion"": ""V4.3.0"", ""patchAvailable"": false, ""gridImpact"": ""Blackout"", ""discoveredDate"": ""2024-09-13T01:24:41.763000000+00:00"", ""affectedFirmwareVersions"": [""V5.2.15""], ""cascadeRisk"": ""High"", ""isExploited"": false}"
388349,Device,,,,,,,"{""exploitabilityScore"": 3.9, ""mitigationStatus"": ""Patched"", ""populationImpact"": 30347, ""patchVersion"": ""V7.5.0"", ""patchAvailable"": true, ""gridImpact"": ""Blackout"", ""discoveredDate"": ""2025-03-09T01:24:41.763000000+00:00"", ""affectedFirmwareVersions"": [""V2.7.6""], ""cascadeRisk"": ""High"", ""isExploited"": true}"
388350,Device,,,,,,,"{""exploitabilityScore"": 3.9, ""mitigationStatus"": ""Unpatched"", ""populationImpact"": 149015, ""patchVersion"": ""V5.4.0"", ""patchAvailable"": true, ""gridImpact"": ""Blackout"", ""discoveredDate"": ""2024-08-21T01:24:41.763000000+00:00"", ""affectedFirmwareVersions"": [""V4.3.13""], ""cascadeRisk"": ""High"", ""isExploited"": false}"
388361,Device,,,,,,,"{""exploitabilityScore"": 3.9, ""mitigationStatus"": ""Unpatched"", ""populationImpact"": 187009, ""patchVersion"": ""V3.0.0"", ""patchAvailable"": true, ""gridImpact"": ""Blackout"", ""discoveredDate"": ""2025-01-22T01:24:41.763000000+00:00"", ""affectedFirmwareVersions"": [""V5.8.11""], ""cascadeRisk"": ""High"", ""isExploited"": false}"
388380,Device,,,,,,,"{""exploitabilityScore"": 3.9, ""mitigationStatus"": ""Unpatched"", ""populationImpact"": 96269, ""patchAvailable"": true, ""gridImpact"": ""Blackout"", ""affectedFirmwareVersions"": [""V4.7.15""], ""discoveredDate"": ""2023-12-26T01:24:41.763000000+00:00"", ""cascadeRisk"": ""High"", ""isExploited"": false}"
388393,Device,,,,,,,"{""exploitabilityScore"": 3.9, ""mitigationStatus"": ""Patched"", ""populationImpact"": 247353, ""patchVersion"": ""V3.6.0"", ""patchAvailable"": true, ""gridImpact"": ""LoadShedding"", ""discoveredDate"": ""2023-12-28T01:24:41.763000000+00:00"", ""affectedFirmwareVersions"": [""V3.0.20""], ""cascadeRisk"": ""High"", ""isExploited"": false}"
388405,Device,,,,,,,"{""exploitabilityScore"": 3.9, ""mitigationStatus"": ""Unpatched"", ""populationImpact"": 193099, ""patchVersion"": ""V5.2.0"", ""patchAvailable"": true, ""gridImpact"": ""Blackout"", ""discoveredDate"": ""2025-07-19T01:24:41.763000000+00:00"", ""affectedFirmwareVersions"": [""V5.1.5""], ""cascadeRisk"": ""High"", ""isExploited"": false}"
388407,Device,,,,,,,"{""exploitabilityScore"": 3.9, ""mitigationStatus"": ""Unpatched"", ""populationImpact"": 120474, ""patchVersion"": ""V3.3.0"", ""patchAvailable"": true, ""gridImpact"": ""LoadShedding"", ""discoveredDate"": ""2024-01-15T01:24:41.763000000+00:00"", ""affectedFirmwareVersions"": [""V5.1.12""], ""cascadeRisk"": ""High"", ""isExploited"": false}"
