"Imported Companies","Created At","Updated At","Enrich LI Company","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Telephone","Scrape Website"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:24.605Z","Bitcoin Inc.","Bitcoin Inc.","Bitcoin is an open source peer to peer electronic cash system. Because the code is open source, the idea is public domain and the name, symbol and concept is all considered a public good, it has functioned fully for 14+ years without a centralized entity baby sitting its existence. Bitcoin is not only an open source software project, a new digital asset within its own class, a peer to peer computational system, the largest computer network on earth, but it is also the bedrock of a new government, a new form of society & the foundation for a modern civilization.

Our company was formed to further that mission, that goal and that purpose of Bitcoin, without anyone permission or approval, to use the Bitcoin brand, name and technology, to fulfil the potentiality of Bitcoin. By creating the tools, products & services in the original vision of the Satoshi Client, we provide the essential parts of Bitcoin to the public, to institutions and the world at large.

Bitcoin Wallets
Bitcoin Nodes
Bitcoin Miners

operated & owned by our benevolent dictator Morgan Rockwell @Nodefather","Utilities","11-50 employees","Privately Held","Las Vegas, NV","United States","bitcoininc.co","https://www.linkedin.com/company/bitcoinco",,"✅ bitcoininc.co"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:49.201Z","Smart Electric Power Alliance","Smart Electric Power Alliance","The Smart Electric Power Alliance (SEPA) is a nonprofit organization that envisions a carbon-free energy system that is safe, affordable, reliable, resilient and equitable.

Our mission is to accelerate the electric power industry’s transformation to a modern energy future through education, research, standards, and collaboration.

Since 1992, we have led electric stakeholders to solutions and strategies for their unique clean and modern energy challenges. This is why we’ve provided three pathways with the tools and resources you need to move forward: Electrification, Grid Integration, and Regulatory and Business Innovation.

SEPA does not advocate for policy positions or lobby. We facilitate consensus around solutions and serve as a source for unbiased research and education.","Electric Power Generation","11-50 employees","Non Profit","Washington, DC","United States","sepapower.org","https://www.linkedin.com/company/smart-electric-power-alliance",,"✅ sepapower.org"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:50.584Z","NETA - InterNational Electrical Testing Association","NETA - InterNational Electrical Testing Association","The mission of the InterNational Electrical Testing Association is to serve the electrical testing industry by establishing standards, publishing specifications, accrediting independent, third-party testing companies, certifying test technicians, and promoting the professional services of its members. The Association also collects and disseminates information and data of value to the electrical industry and educates the public and end user about the merits of electrical acceptance and maintenance testing.","Electric Power Transmission, Control, and Distribution","11-50 employees","Non Profit","Portage, MI","United States","netaworld.org","https://www.linkedin.com/company/neta-international-electrical-testing-association",,"✅ netaworld.org"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:48.277Z","Doral Renewables LLC","Doral Renewables LLC","We are a Philadelphia-based renewable energy developer, owner, and operator of renewable energy assets, operating all over the United States. Our solar and storage development portfolio of over 13 GW, including 400 MW on the verge of operation and over 900 MW under construction. We operate in 18 states and across 10 electricity markets. We currently have over $2.5 billion in long-term wholesale power purchase agreements with U.S. customers. The company has a global management and leadership that includes the Doral Group (TASE: DORL), Migdal Group (TASE: MGDL), Clean Air Generation, with further financial backing from Apollo Global Management (NYSE: APO).

Our development methodology puts our stakeholders, landowners, and partners in the middle of decision-making, focuses on the incorporation of agrivoltaics practices in our project, and facilitates strong relationships with the local community","Electric Power Generation","11-50 employees","Privately Held","Philadelphia, PA","United States","gegrenewables.com","https://www.linkedin.com/company/doral-renewables-llc",,"✅ gegrenewables.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:48.277Z","Net Power","Net Power","NET Power Inc. (NYSE: NPWR) is a clean energy technology company with a proprietary process that uses natural gas to generate electricity while capturing all emissions.

NET Power investors and world-class partners are Constellation, Occidental Low Carbon Ventures, 8 Rivers Capital, and Baker Hughes.","Electric Power Generation","11-50 employees","Public Company","Durham, NC","United States","netpower.com","https://www.linkedin.com/company/net-power-llc",,"✅ netpower.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:49.201Z","Ecogy Energy","Ecogy Energy","Ecogy’s platform provides renewable energy solutions that are distributed, de-carbonized, digitized, and democratized to commercial and industrial customers across historically underserved entities. We specialize in custom renewable energy systems, energy management and efficiency, and energy storage solutions that reduce costs and carbon footprints. Join us in creating a more sustainable and accessible clean energy future.","Electric Power Generation","11-50 employees","Privately Held","Brooklyn, New York","United States","ecogyenergy.com","https://www.linkedin.com/company/ecogy-energy",,"✅ ecogyenergy.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:49.567Z","NARUC","NARUC","NARUC is a non-profit organization founded in 1889 whose members include the governmental agencies that are engaged in the regulation of utilities and carriers in the fifty States, the District of Columbia, Puerto Rico and the Virgin Islands. NARUC's member agencies regulate telecommunications, energy, and water utilities. NARUC represents the interests of State public utility commissions before the three branches of the Federal government.","Utilities","11-50 employees","Non Profit","Washington, District of Columbia","United States","naruc.org","https://www.linkedin.com/company/naruc",,"✅ naruc.org"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:02:05.539Z","Guzman Energy","Guzman Energy","Guzman Energy is a wholesale power provider dedicated to communities in search of affordable and reliable energy. We partner with cooperatives, municipalities, companies and tribes across North America to customize energy portfolios that make economic and environmental sense for today and tomorrow. Together, we are lighting the way forward.","Utilities","11-50 employees","Privately Held","Denver, Colorado","United States","guzmanenergy.com","https://www.linkedin.com/company/guzman-energy",,"✅ guzmanenergy.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:47.852Z","Generation Atomic","Generation Atomic","ENERGIZING AND EMPOWERING TODAY'S GENERATION TO ADVOCATE FOR AN ATOMIC FUTURE","Utilities","11-50 employees","Non Profit","St Paul, MN","United States","generationatomic.org","https://www.linkedin.com/company/generationatomic",,"✅ generationatomic.org"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:46.883Z","Touchstone Energy Cooperative, Inc.","Touchstone Energy Cooperative, Inc.","By providing the resources of the largest national network to local electric co-ops, Touchstone Energy helps our member systems strengthen their relationships with their member-owners. It is a national network of electric cooperatives across 47 states that provides research, communications resources, and employee training programs to help its member cooperatives better engage and serve their members. As a result, Touchstone Energy cooperatives are positioned to achieve superior member satisfaction and engagement to strengthen the cooperative, the communities it serves, and the electric cooperative community at large. Through access to targeted programs and a unifying national brand, Touchstone Energy cooperatives stand out as a trusted source of power and information to their 30 million member-owners every day. 

There is increased value to being aligned with a trusted national brand providing information for member-consumers to increase energy efficiency and use of new technologies. A network-wide digital communications effort focused on the cooperative difference reinforces the value of being a member and having a voice in your electric utility. Continued customer service training for cooperative employees ties to high member satisfaction with an average score of 85 in the American Customer Satisfaction Index (ACSI).

Our values and our promise: Integrity, Innovation, Accountability, and Commitment to Community. Touchstone Energy is a brand and network that reflects the gold standard for electric cooperatives.","Utilities","11-50 employees","Non Profit","Arlington, VA","United States","touchstoneenergy.com","https://www.linkedin.com/company/touchstone-energy-cooperatives",,"✅ touchstoneenergy.com"
