Name,Type,City,State,Beds,Location,Phone
Kansas Medical Center,General Acute Care,Andover,KS,58,"1124 W 21st St N, Andover, KS 67002",(316) 300-4000
Rock Regional Hospital,General Acute Care,Derby,KS,31,"401 S Erin Ln, Derby, KS 67037",(316) 788-3400
CommonSpirit - St. Catherine Hospital - Dodge City,General Acute Care,Dodge City,KS,99,"3570 Ave A, Dodge City, KS 67801",(620) 225-8400
Susan B. Allen Memorial Hospital,General Acute Care,El Dorado,KS,20,"720 W Central Ave, El Dorado, KS 67042",(316) 321-3300
Mercy Specialty Hospital - Southeast Kansas,Long-Term Acute Care,Galena,KS,26,"14 S Santa Fe St, Galena, KS 66739",(620) 783-7100
CommonSpirit - St. Catherine Hospital - Garden City,General Acute Care,Garden City,KS,100,"401 E Spruce St, Garden City, KS 67846",(620) 272-2222
University of Kansas Health System Great Bend Campus,General Acute Care,Great Bend,KS,29,"514 Cleveland St, Great Bend, KS 67530",(620) 792-8833
Hays Medical Center,General Acute Care,Hays,KS,132,"2220 Canterbury Dr, Hays, KS 67601",(785) 623-5000
Hutchinson Regional Medical Center,General Acute Care,Hutchinson,KS,167,"1701 E 23rd Ave, Hutchinson, KS 67502",(620) 665-2000
"The Summit Institute for Orthopedics, Spine and Human Movement",Specialty Hospital,Hutchinson,KS,10,"1819 N Waldron St, Hutchinson, KS 67502",(620) 665-9999
Stormont Vail Health-Flint Hills Campus,General Acute Care,Junction City,KS,43,"800 Hospital Dr, Junction City, KS 66441",(785) 238-4131
The University of Kansas Hospital Main Campus,Academic Medical Center,Kansas City,KS,998,"3901 Rainbow Blvd, Kansas City, KS 66160",(913) 588-6500
Providence Medical Center,General Acute Care,Kansas City,KS,176,"8929 Parallel Pkwy, Kansas City, KS 66112",(913) 596-4000
LMH Health Main Campus,General Acute Care,Lawrence,KS,139,"325 Maine St, Lawrence, KS 66044",(785) 505-5000
Saint John Hospital,General Acute Care,Leavenworth,KS,52,"3500 S 4th St, Leavenworth, KS 66048",(913) 680-6000
Kansas City Orthopaedic Institute,Specialty Hospital,Leawood,KS,17,"3651 College Blvd, Leawood, KS 66211",(913) 319-7600
Ascentist Hospital,Specialty Hospital,Leawood,KS,9,"11450 Tomahawk Creek Pkwy, Leawood, KS 66211",(913) 948-9280
MISH Hospital and Clinics,Specialty Hospital,Lenexa,KS,9,"8929 Parallel Pkwy, Lenexa, KS 66112",(913) 281-3400
Southwest Medical Center,General Acute Care,Liberal,KS,85,"315 W 15th St, Liberal, KS 67901",(620) 624-1651
Ascension Via Christi Hospital in Manhattan,General Acute Care,Manhattan,KS,94,"1823 College Ave, Manhattan, KS 66502",(785) 776-3322
Manhattan Surgical Center,Specialty Hospital,Manhattan,KS,13,"1829 College Ave, Manhattan, KS 66502",(785) 776-5100
McPherson Center for Health,General Acute Care,McPherson,KS,37,"1000 Hospital Dr, McPherson, KS 67460",(620) 241-2250
NMC Health,General Acute Care,Newton,KS,99,"600 Medical Center Dr, Newton, KS 67114",(316) 804-6000
Olathe Medical Center,General Acute Care,Olathe,KS,253,"20333 W 151st St, Olathe, KS 66061",(913) 791-4200
AdventHealth Ottawa,General Acute Care,Ottawa,KS,36,"1301 S Main St, Ottawa, KS 66067",(785) 229-8200
Overland Park Regional Medical Center,General Acute Care,Overland Park,KS,263,"10500 Quivira Rd, Overland Park, KS 66215",(913) 541-5000
Saint Luke's South Hospital,General Acute Care,Overland Park,KS,197,"12300 Metcalf Ave, Overland Park, KS 66213",(913) 317-7000
Menorah Medical Center,General Acute Care,Overland Park,KS,153,"5721 W 119th St, Overland Park, KS 66209",(913) 498-6000
AdventHealth South Overland Park,General Acute Care,Overland Park,KS,41,"7820 W 165th St, Overland Park, KS 66223",(913) 685-0990
Paola Hospital,Critical Access,Paola,KS,18,"2107 Baptiste Dr, Paola, KS 66071",(913) 294-2300
Labette Health,General Acute Care,Parsons,KS,56,"1902 S US Hwy 59, Parsons, KS 67357",(620) 421-4880
Mercy Hospital Pittsburg,General Acute Care,Pittsburg,KS,74,"1402 W 4th St, Pittsburg, KS 66762",(620) 231-6100
Pratt Regional Medical Center,General Acute Care,Pratt,KS,35,"200 Commodore St, Pratt, KS 67124",(620) 672-7451
Salina Regional Health Center,General Acute Care,Salina,KS,207,"400 S Santa Fe Ave, Salina, KS 67401",(785) 452-7000
Salina Surgical Hospital,Specialty Hospital,Salina,KS,16,"401 S Santa Fe Ave, Salina, KS 67401",(785) 827-0610
AdventHealth Shawnee Mission,General Acute Care,Shawnee Mission,KS,356,"9100 W 74th St, Shawnee Mission, KS 66204",(913) 676-2000
Stormont Vail Hospital,General Acute Care,Topeka,KS,440,"1500 SW 10th Ave, Topeka, KS 66604",(785) 354-6000
University of Kansas Health System Saint Francis Campus,General Acute Care,Topeka,KS,201,"1700 SW 7th St, Topeka, KS 66606",(785) 295-8000
Ascension Via Christi St. Francis,General Acute Care,Wichita,KS,666,"929 N St Francis St, Wichita, KS 67214",(316) 268-5000
Wesley Medical Center,General Acute Care,Wichita,KS,656,"550 N Hillside Ave, Wichita, KS 67214",(316) 962-2000
Wesley Woodlawn Hospital & ER,General Acute Care,Wichita,KS,71,"2610 N Woodlawn Blvd, Wichita, KS 67220",(316) 858-8000
Kansas Heart Hospital,Specialty Hospital,Wichita,KS,46,"3601 N Webb Rd, Wichita, KS 67226",(316) 858-4000
Ascension Via Christi St. Teresa,General Acute Care,Wichita,KS,38,"14800 W St Teresa, Wichita, KS 67235",(316) 796-7000
Kansas Spine & Specialty Hospital,Specialty Hospital,Wichita,KS,35,"3333 N Webb Rd, Wichita, KS 67226",(316) 462-3500
Belton Regional Medical Center,General Acute Care,Belton,MO,62,"17065 S 71 Hwy, Belton, MO 64012",(816) 348-1200
Saint Mary's Medical Center,General Acute Care,Blue Springs,MO,83,"201 NW R D Mize Rd, Blue Springs, MO 64014",(816) 228-5900
Citizens Memorial Hospital,General Acute Care,Bolivar,MO,72,"1500 N Oakland Ave, Bolivar, MO 65613",(417) 326-6000
Cox Medical Center Branson,General Acute Care,Branson,MO,157,"251 Skaggs Rd, Branson, MO 65616",(417) 335-7000
SSM Health DePaul Hospital - St. Louis,General Acute Care,Bridgeton,MO,540,"12303 DePaul Dr, Bridgeton, MO 63044",(314) 344-6000
Bates County Memorial Hospital,Critical Access,Butler,MO,40,"615 W Nursery St, Butler, MO 64730",(660) 200-7000
Cameron Regional Medical Center,General Acute Care,Cameron,MO,61,"1600 E Evergreen St, Cameron, MO 64429",(816) 632-2101
Saint Francis Medical Center,General Acute Care,Cape Girardeau,MO,306,"211 St Francis Dr, Cape Girardeau, MO 63703",(573) 331-3000
Mercy Hospital Southeast,General Acute Care,Cape Girardeau,MO,245,"1815 Rusmar St, Cape Girardeau, MO 63701",(573) 334-4822
Saint Luke's Hospital,General Acute Care,Chesterfield,MO,460,"232 S Woods Mill Rd, Chesterfield, MO 63017",(314) 434-1500
Golden Valley Memorial Hospital,General Acute Care,Clinton,MO,43,"1600 N 2nd St, Clinton, MO 64735",(660) 890-7300
MU Health University Hospital,Academic Medical Center,Columbia,MO,740,"1 Hospital Dr, Columbia, MO 65212",(573) 882-4141
Boone Hospital Center,General Acute Care,Columbia,MO,285,"1600 E Broadway, Columbia, MO 65201",(573) 815-8000
